question_id,document_id,question_type,question,recall_at_3,answer_correctness,generated_answer,retrieved_chunk_1,retrieved_chunk_2,retrieved_chunk_3
40,9,no_answer,What is Angola's national animal?,,0.0,Angola’s national animal is the **giant sable antelope** (*Palanca negra gigante*).,"Republic of Angola República de Angola Flag Emblem Anthem: Angola Avante (English: Forward Angola) Angola Angola,[a] officially the Republic of Angola,[b] is a country on the western coast of Southern Africa. It is the second-largest Portuguese-speaking (Lusophone) country after Brazil in both total area and population and is the seventh-largest country in Africa. It is bordered by Namibia to the south, the Democratic Republic of the Congo to the north, Zambia to the east, and the Atlantic","of Angola (MPLA), 0:000:00 / 0:00/ 0:00 Capital and largest city Luanda 8°50′S 13°20′E Official languages Portuguese National languages Chokwe, Kimbundu, Kikongo, Oshiwambo, Luchazi, Umbundu Ethnic groups (2024)[1] 29% Ovimbundu 27% Ambundu 14% Bakongo 30% others Religion (2024)[2] 11.5% no religion 9.4% other Demonym Angolan Government Unitary presidential republic • President João Lourenço • Vice President Esperança da Costa[3] • President of the National Assembly Adão Correia de Almeida •","northwest of the country.[70] Angola has a favourable coastline for maritime trade, with four natural harbours: Luanda, Lobito, Moçâmedes, and Tômbua. These natural indentations contrast with Africa's typical coastline of rocky cliffs and deep bays.[71] Angola had a 2018 Forest Landscape Integrity Index mean score of 8.35/10, ranking it 23rd globally out of 172 countries.[72] Its forest cover is around 53% of the total land area, equivalent to 66,607,380 hectares (ha) of forest in 2020, down"
41,0,multi_passage,"What role does Portuguese play in education, and what are the main activities described as the basis of Mozambique's economy?",1.0,1.0,"Portuguese is the primary language of instruction in all Mozambican schools. Mozambique’s economy is based mainly on fishing and agriculture, with growing industries in food and beverages, chemical manufacturing, aluminium, and oil.","profile in Mozambique as a result of its key role during the peace process. Relations with Portugal, the former colonial power, continue to be important because Portuguese investors play a visible role in Mozambique's economy.[20] Mozambique is a member of the Non-Aligned Movement and ranks among the moderate members of the African bloc in the United Nations and other international organisations. Mozambique also belongs to the African Union and the Southern African Development Community. In","regions from the southern capital and where Islam is the dominant faith. Mozambique is endowed with rich and extensive natural resources. The country's economy is based chiefly on fishery—mostly molluscs, crustaceans and echinoderms—and agriculture with a growing industry of food and beverages, chemical manufacturing, aluminium and oil. The tourism sector is expanding. Mozambique's GDP grew significantly after 2001, but since 2014/15, both a significant decrease in household real consumption","levels of acute food insecurity for years.[142] Portuguese is the primary language of instruction in all Mozambican schools. All Mozambicans are required by law to attend school through the primary level; however, a lot of children do not go to primary school because they have to work for their families' subsistence farms for a living. In 2007, one million children still did not go to school, most of them from poor rural families, and almost half of all teachers were unqualified. Girls"
42,1,multi_passage,"Which two Great Lakes are highlighted in Tanzania's geography, and what happened to the country's economy from the late 1970s?",0.5,1.0,"The two Great Lakes are **Lake Victoria** and **Lake Tanganyika**. From the late 1970s, Tanzania’s economy **deteriorated sharply amid an international economic crisis**.","reception of aid largely went towards Nyerere's goal of national development projects. From 1970 to 1975, China financed and helped build the 1,860-kilometre-long (1,160 mi) TAZARA Railway from Dar es Salaam, Tanzania, to Kapiri Mposhi, Zambia.[72] Nonetheless, from the late 1970s, Tanzania's economy took a turn for the worse, in the context of an international economic crisis affecting both developed and developing economies. In 1978, the neighbouring Uganda, under the leadership of Idi Amin,","Africa's largest lake, and Lake Tanganyika, the continent's deepest lake, known for its unique species of fish. To the southwest lies Lake Nyasa. Central Tanzania is a large plateau, with plains and arable land. The eastern shore is hot and humid, with the Zanzibar Archipelago just offshore. Geography Tanzania map of Köppen climate classification Kalambo Falls in the southwestern region of Rukwa is the second highest uninterrupted waterfall in Africa, and is located near the southeastern shore","Emirates being the biggest partners.[163] Tanzania weathered the Great Recession, which began in late 2008 or early 2009, relatively well. Strong gold prices, bolstering the country's mining industry, and Tanzania's poor integration into global markets helped to insulate the country from the downturn.[87]: page 1250 Since the recession ended, the Tanzanian economy has expanded rapidly thanks to strong tourism, telecommunications, and banking sectors.[87]: page 1250 Law enforcement Human rights"
43,2,multi_passage,How does the article describe South Africa's political-geographic structure and its economic position in Africa?,0.5,1.0,"South Africa is described as a liberal democracy organized as a parliamentary republic with nine provinces. Economically, it is a developing, newly industrialized country with Africa’s largest economy by nominal GDP and serves as the continent’s leading economic and financial center.","the country's liberal democracy, which comprises a parliamentary republic and nine provinces. Recognised as a middle power in international affairs, South Africa maintains significant regional influence and is a member of BRICS+, the African Union (hosting the seat of the Pan-African Parliament), SADC, SACU, the Commonwealth of Nations, and the G20.[24][25] A developing and newly industrialised country, it has the largest economy in Africa by nominal GDP,[26][27] is tied with Ethiopia for the","widespread, with about 32% of the population unemployed as of 2024,[31][32] while some 56% lived below the poverty line in 2014.[33][34] Having the highest Gini coefficient of 0.67, South Africa is considered one of the most economically unequal countries in the world.[35][36] The name ""South Africa"" is derived from the country's geographic location at the southern tip of Africa. Upon formation, the country was named the Union of South Africa in English and Unie van Zuid-Afrika in Dutch,","economic centre of South Africa and the continent's leading financial centre[210] reported.[208] Critics argue that systemic weaknesses and uneven access to justice have fostered a culture of impunity, sustaining high crime rates and public mistrust. These issues continue to shape national debates on security, governance, and human rights.[209] South Africa has a mixed economy characterised by a large services sector, diversified industrial base and abundant natural resources. It is the largest"
44,3,multi_passage,"How did Eswatini's official name change in 2018, and what is the prevalent language identified in the article?",0.5,1.0,"In April 2018, the country’s official name changed from the **Kingdom of Swaziland** to the **Kingdom of Eswatini**. The prevalent language identified is **Swazi (siSwati)**, alongside English as an official language.","on 6 September 1968.[17] In April 2018, the king changed the official name from Kingdom of Swaziland to Kingdom of Eswatini, the name commonly used in the Swazi language.[14][18][19] Eswatini is a developing country that is classified as having a lower-middle income economy. As a member of the Southern African Customs Union and the Common Market for Eastern and Southern Africa, its main local trading partner is South Africa; to ensure economic stability, Eswatini's currency, the lilangeni, is","(https://www.bbc.com/news/world-africa-4382 1512). BBC News. 19 April 2018. Retrieved 19 April 2018. 14. ""Kingdom of Swaziland Change Now Official"" (https://web.archive.org/web/2019032710135 2/http://www.times.co.sz/news/118373-kingdom-of-eswatini-change-now-official.html). Times Of Swaziland. 18 May 2018. Archived from the original (http://www.times.co.sz/news/118373 -kingdom-of-eswatini-change-now-official.html) on 27 March 2019. Retrieved 25 May 2018. 15. Bonner, Philip (1982). Kings,",pegged to the South African rand. Eswatini's major overseas trading partners are the United States[20] and 0:000:00 / 0:00/ 0:00 Capital Mbabane (executive) Lobamba (legislative) 26°30′S 31°30′E Largest city Mbabane Official languages Swazi · English Ethnic groups (2017) 97% Emaswati 3% others Religion (2017) 7.4% no religion 2.5% traditional faiths 0.8% others[1][2] Demonym Swazi[a] Government Unitary diarchic[3] absolute monarchy the European Union.[21] The majority of the country's employment
45,4,multi_passage,What are two main features of Lesotho's economy and currency system described in the article?,0.5,0.5,"1. **Economy:** Lesotho relies heavily on agriculture and has benefited from garment exports to the United States under AGOA, though its GDP growth slowed to 0.9% in 2009.  
2. **Currency system:** The **loti (maloti)** is Lesotho’s official currency and is pegged at par with the South African rand. Lesotho is part of the **Common Monetary Area (CMA)** with South Africa, Eswatini, and Namibia.","Africa contributed to Lesotho's GDP growth slowing to 0.9% in 2009.[65] Lesotho was ranked 132nd in the Global Innovation Index in 2025.[77][78] The official currency is the loti (plural: maloti) which can be used interchangeably with the South African rand. The loti is at par with the rand. Lesotho, Eswatini, Namibia, and South Africa form a common currency and exchange control area known as the Common Monetary Area (CMA). The second Trump administration (since 20 January 2025) imposed tariffs","SitePK:356029,00.html) on 31 March 2014. Retrieved 3 March 2012. 66. ""CIA Lesotho Economy 2011"" (https://web.archive.org/web/20120224071854/http://www.the odora.com/wfbcurrent/lesotho/lesotho_economy.html). Archived from the original (http://ww w.theodora.com/wfbcurrent/lesotho/lesotho_economy.html) on 24 February 2012. Retrieved 3 March 2012. 67. ""Central Bank of Lesotho – Africa Growth and Opportunities Act (AGOA): Economic Impact and Future Prospects""","a tourist attraction. Katse Dam Mohale Dam with nearly two-thirds of the country's income coming from the agricultural sector. The percentage of the population living below USD Purchasing Power Parity US$1.25/day fell from 48% to 44% between 1995 and 2003.[65] Lesotho has taken advantage of the African Growth and Opportunity Act to become the largest exporter of garments to the US from sub-Saharan Africa.[67] US brands and retailers sourcing from Lesotho include Foot Locker, Gap, Gloria"
46,5,multi_passage,What does the article state about Zimbabwe's official languages and its economic decline from 1997 to 2008?,0.5,1.0,"The article states that Zimbabwe has **16 official languages**, with Parliament able to recognize additional languages. **English** is the main language of education and the courts, while **Shona** and **Ndebele** are the principal indigenous languages, spoken by about **78%** and **20%** of the population, respectively.

Economically, Zimbabwe experienced **consistent decline from 1997 to 2008**, culminating in severe **hyperinflation**. The downturn was attributed largely to government mismanagement and corruption, the costly involvement in the **war in the Democratic Republic of the Congo**, and the controversial eviction of thousands of white farmers.","2000, 8% in 2001, 12% in 2002 and 18% in 2003.[188] Zimbabwe's involvement from 1998 to 2002 in the war in the Democratic Republic of the Congo drained hundreds of millions of dollars from the economy.[189] From 1999 to 2009, Zimbabwe saw the lowest ever economic growth with an annual GDP decrease of 6.1%.[190] The downward spiral of the economy has been attributed mainly to mismanagement and corruption by the government and the eviction of more than 4,000 white farmers in the controversial land","From 1997 to 2008, the economy experienced consistent decline (and in the latter years, hyperinflation), though it has since seen rapid growth after the use of currencies other than the Zimbabwean dollar was permitted. In 2017, in the wake of over a year of protests against his government as well as Zimbabwe's rapidly declining economy, a coup d'état resulted in Mugabe's resignation. Emmerson Mnangagwa has since served as Zimbabwe's president. The name ""Zimbabwe"" stems from a Shona term for","Chinhoyi Mashonaland West 90,800 10 Masvingo Masvingo 90,286 Zimbabwe has 16 official languages and under the constitution, an Act of Parliament may prescribe other languages as officially recognised languages.[4] English is the main language used in the education and judicial systems. The Bantu languages Shona and Ndebele are the principal indigenous languages of Zimbabwe. Shona is spoken by 78% of the population, Ndebele by 20%. Other minority Bantu languages include Venda, Tsonga, Shangaan,"
47,6,multi_passage,What does the article say about Lake Malawi's biological richness and the country's economic dependence on agriculture?,0.5,1.0,"The article describes Lake Malawi as exceptionally biologically rich, especially for its fish diversity, with many endemic species such as chambo, usipa, and mpasa. It also says Malawi’s economy depends heavily on agriculture: over one-third of GDP and about 90% of export revenue come from agriculture, and roughly 85% of the population lives in rural areas.","ranked sixth in the world (as of March 2021). Malawian cuisine is diverse, with tea and fish being popular features of the country's cuisine.[150] Sugar, coffee, corn, potatoes, sorghum, cattle, and goats are also important components of the cuisine and economy. Lake Malawi is a source of fish, including chambo (similar to bream), usipa (similar to Media Sports Cuisine Malawi portal Countries portal Africa portal sardines), and mpasa (similar to salmon and kampango).[150] Nsima is a food staple","areas.[74] The 2019 Forest Landscape Integrity Index mean score was 5.74/10, ranking it 96th globally out of 172 countries.[75] Malawi is among the world's least developed countries. Around 85% of the population lives in rural areas. The economy is based on agriculture, and more than one-third of GDP and 90% of export revenues come from this. In the past, the economy has been dependent on substantial economic aid from the World Bank, the International Monetary Fund (IMF), and other","95. ""Malawi's armyworm outbreak destroys 2,000 hectares: minister"" (https://www.reuters.com/a rticle/us-malawi-grains-armyworm-idUSKBN14Y0DK?il=0). Reuters. 14 January 2017. Retrieved 14 January 2017. 96. ""Malawi"" (https://web.archive.org/web/20090410063206/http://www.uneca.org/aisi/nici/count ry_profiles/malawi/malab.htm). NICI in Africa. Economic Commission for Africa. Archived from the original (https://www.uneca.org/aisi/NICI/country_profiles/malawi/malab.htm) on 10 April 2009. Retrieved 6"
48,7,multi_passage,How does the article describe Kenya's cultural diversity and the sectors associated with recent economic expansion?,0.5,1.0,"The article portrays Kenya as culturally diverse, with many ethnic communities, languages, traditions, and religions living together; English and Swahili serve as the main national languages. Its recent economic expansion is linked especially to tourism, higher education, telecommunications and ICT, transport infrastructure, and agriculture—particularly the tea sector and other export-oriented crops such as fresh flowers.","sector employs around 30% of the workforce.[175] Kenya is usually classified as a frontier market or occasionally an emerging market, and is one of the Developing countries. The economy has seen much expansion, seen by strong performance in tourism, higher education and telecommunications and decent post-drought results in agriculture, especially the vital tea sector.[176] Kenya's economy grew by more than 7% in 2007, and its foreign debt was greatly reduced.[176] This changed immediately after","the sector's traditional cash crops, while fresh flowers are a fastgrowing export. The service industry, particularly tourism, is also one of the country's major economic drivers. Kenya is a member of the East African Community trade bloc,[21][22] though some international trade organisations categorise it as part of the Greater Horn of Africa.[23] Africa is Kenya's largest export market, followed by the European Union.[24] The Republic of Kenya is named after Mount Kenya. The earliest recorded","killings appeared to be official policy sanctioned by the political leadership and the police.[168][169] Kenya's macroeconomic outlook has steadily posted robust growth over the past few decades mostly from road, rail, air and water transport infrastructure projects as well as massive investments in Information and Communication Technology. The Kenyan economy is the largest in East Africa. After independence, Kenya promoted rapid economic growth through public investment, encouraged smallholder"
49,8,multi_passage,How are Botswana's independence and the importance of its mineral industry described?,0.5,0.5,"Botswana gained independence as an extremely poor country with low literacy, little infrastructure, and an economy dependent mainly on cattle and South Africa. Under Seretse Khama, the government invested in roads, schools, and public services. The discovery of diamonds in 1967 transformed the economy: mining—especially diamonds through the government’s 50% stake in Debswana—became central to national development and provides about 40% of government revenue.","national legal system.[88][89][44][90][91] Botswana was extremely poor at independence, with low literacy, little infrastructure, and an economy heavily dependent on cattle farming and South Africa.[92][93][94] Independence–present Seretse Khama (right) and Quett Masire (left) at independence talks in London, 1965 Under Seretse Khama, the government invested in roads, schools, and other public services.[95][96][97] The discovery of diamonds in 1967 transformed the economy.[98][99][100]","sub-Saharan African countries in the 2014 International Property Rights Index.[196] In Botswana, the Department of Mines and Mineral Resources, Green Technology and Energy Security maintains data regarding mining throughout the country.[198][199] Debswana, the largest diamond mining company operating in Botswana, is a joint venture, 50% owned by the government.[200] The mineral industry provides about 40% of all government revenues.[201] Botswana has not begun mining uranium; however, the","of Trade and Industry of Botswana is responsible for promoting business development throughout the country. According to the International Monetary Fund, economic growth averaged over 9% per year from 1966 to 1999. Botswana has a high level of economic freedom compared to other African countries.[194] The government has maintained a sound fiscal policy, despite consecutive budget Economy The Jwaneng diamond mine, richest in the world[197] deficits in 2002 and 2003, and a negligible level of"
50,9,multi_passage,What does the article say about Cabinda's geographic status and the importance of oil and diamonds to Angola's economy?,0.5,0.5,"Cabinda is described as Angola’s geographically separate northern exclave, detached from the mainland by the Democratic Republic of the Congo, and its status has been politically disputed by separatists. It is exceptionally oil-rich—its offshore production contributes more than half of Angola’s oil output—earning Angola the nickname “the Kuwait of Africa.” More broadly, oil and diamonds have been Angola’s most important economic resources since independence, although the civil war severely damaged agriculture and other parts of the economy.","its oil, which has given it the nickname the Kuwait of Africa. Cabinda's petroleum production from its considerable offshore reserves now accounts for more than half of Angola's output.[98] Most of the oil along its coast was discovered under Portuguese rule by the Cabinda Gulf Oil Company (CABGOC) from 1968 onwards. Ever since Portugal handed over sovereignty of its former overseas province of Angola to the local independence groups (MPLA, UNITA and FNLA), the territory of Cabinda has been a","Dam on the Cuanza Growing oil revenues also created opportunities for corruption: according to a recent Human Rights Watch report, US$32 billion disappeared from government accounts in 2007–2010.[147] Furthermore, Sonangol, the state-run oil company, controls 51% of Cabinda's oil. Due to this market control, the company ends up determining the profit received by the government and the taxes it pays. The council of foreign affairs states that the World Bank mentioned that Sonangol is a taxpayer,","dramatically depleted during the civil war), forests, and fossil fuels. Since independence, oil and diamonds have been the most important economic resources. Smallholder and plantation agriculture dramatically dropped during the Angolan Civil War, but began to recover after 2002. Angola's economy has in recent years moved on from the disarray caused by a quarter-century of Angolan civil war to become the fastest-growing economy in Africa and one of the fastest-growing in the world, with an"
51,0,no_answer,What is Mozambique's national bird?,,0.0,Mozambique’s national bird is the **African fish eagle** (*Haliaeetus vocifer*).,"Republic of Mozambique República de Moçambique (Portuguese) Flag Emblem Anthem: Pátria Amada (Portuguese) ""Beloved Homeland"" Mozambique Mozambique,[d] officially the Republic of Mozambique,[e] is a country in Southeast Africa bordered by the Indian Ocean to the east, Tanzania to the north, Malawi and Zambia to the northwest, Zimbabwe to the west, and Eswatini and South Africa to the south and southwest. The sovereign state is separated from the Comoros, Mayotte, and Madagascar through the","zebra, Vincent's bush squirrel and 13 other endangered or vulnerable species. Protected areas include thirteen forest reserves, seven national parks, six nature reserves, three frontier conservation areas and three wildlife or game reserves. The Constitution of Mozambique stipulates that the President of the Republic functions as the head of state, head of government, commanderin-chief of the armed forces, and as a symbol of national unity.[82] They are directly elected for a five-year term via","twice before dissipating. The resulting flooding caused significant infrastructure damage, with more than 22,000 houses affected, 60 health units flooded, and 1,265 km of roads damaged. Tens of thousands of hectares of crops were also affected during the flooding.[79][80][81] There are known to be 740 bird species in Mozambique, including 20 globally threatened species and two introduced species, and over 200 mammal species endemic to Mozambique, including the critically endangered Selous'"
52,1,no_answer,What is Tanzania's national bird?,,0.0,Tanzania’s national bird is the **grey crowned crane** (*Balearica regulorum*).,"reptile species, many of them strictly Climate Wildlife and conservation The Masai giraffe is Tanzania's national animal. endemic and included in the International Union for Conservation of Nature's Red Lists of countries.[101] Tanzania has the largest lion population in the world.[102] Tanzania had a 2019 Forest Landscape Integrity Index mean score of 7.13/10, ranking it 54th globally out of 172 countries.[103] Tanzania is a one-party dominant state with the Chama Cha Mapinduzi (CCM) party in","United Republic of Tanzania Jamhuri ya Muungano wa Tanzania (Swahili) Flag Coat of arms Motto: ""Uhuru na Umoja"" ""Freedom and Unity"" Anthem: ""Mungu ibariki Afrika"" ""God bless Africa""[1] Capital Dodoma 6°10′S 35°44′E Tanzania Tanzania,[c] officially the United Republic of Tanzania,[d] is a country in East Africa within the African Great Lakes region. It is bordered by Uganda to the northwest, Kenya to the northeast, the Indian Ocean to the east, Mozambique and Malawi to the south, Zambia to the","Park, Lake Manyara National Park, and Mount Kilimanjaro.[87]: page 1252 In 2013, the most visited national park was Serengeti (452,485 tourists), followed by Manyara (187,773) and Tarangire (165,949).[62]: page xx Tourism One of the main trunk roads Zanzibar harbour The Bank of Tanzania is the central bank of Tanzania and is primarily responsible for maintaining price stability, with a subsidiary responsibility for issuing the banknotes and coins of the Tanzanian shilling.[207] At the end of"
53,2,no_answer,What is South Africa's national bird?,,0.0,South Africa’s national bird is the **blue crane** (*Anthropoides paradiseus*).,"international commitments, South Africa has pledged to peak emissions between 2020 and 2025.[143] Biodiversity The national animal of South Africa is the springbok. South Africa signed the Rio Convention on Biological Diversity on 4 June 1994 and became a party to the convention on 2 November 1995.[144] It has subsequently produced a National Biodiversity Strategy and Action Plan, which was received by the convention on 7 June 2006.[145] The country is ranked sixth out of the world's seventeen","diversity"" Anthem: ""National Anthem of South Africa"" South Africa South Africa, officially the Republic of South Africa (RSA), is the southernmost country in Africa.[d] The country consists of nine provinces, and is bounded to the south by 2,798 kilometres (1,739 miles) of coastline that stretches along the South Atlantic and Indian Ocean;[16][17][18] to the north by the neighbouring countries of Namibia, Botswana, and Zimbabwe; and to the east and northeast by Mozambique and Eswatini. South","most UNESCO World Heritage Sites in Africa,[28] and is a biodiversity hotspot with unique biomes, plant, and animal life. South Africa encompasses a variety of cultures, languages, and religions, and has been called the ""rainbow nation"", especially in the wake of apartheid, to describe its diversity.[29] Since the end of apartheid, government accountability and quality of life have substantially improved for non-white citizens.[30] However, crime, violence, poverty, and inequality remain"
54,3,no_answer,What is Eswatini's national bird?,,0.0,"Eswatini’s national bird is the **purple-crested turaco** (*Tauraco porphyreolophus*), also known as the purple-crested lourie.","mammal species native to Eswatini, including the critically endangered South-central black rhinoceros and seven other endangered or vulnerable species.[77] Eswatini is rich in Biodiversity and conservation Mswati III has been king of Eswatini since 1986. bird life, including white-backed vultures, white-headed, lappet-faced and Cape vultures, raptors such as martial eagles, bateleurs, and long-crested eagles, and the southernmost nesting site of the marabou stork.[78] Eswatini is an absolute",pegged to the South African rand. Eswatini's major overseas trading partners are the United States[20] and 0:000:00 / 0:00/ 0:00 Capital Mbabane (executive) Lobamba (legislative) 26°30′S 31°30′E Largest city Mbabane Official languages Swazi · English Ethnic groups (2017) 97% Emaswati 3% others Religion (2017) 7.4% no religion 2.5% traditional faiths 0.8% others[1][2] Demonym Swazi[a] Government Unitary diarchic[3] absolute monarchy the European Union.[21] The majority of the country's employment,"Kingdom of Eswatini Umbuso weSwatini (Swazi) Flag Coat of arms Motto: ""Siyinqaba"" (Swazi) ""We are the fortress"" Anthem: ""Nkulunkulu Mnikati wetibusiso temaSwati"" ""Oh God, Giver of Blessings to the Swazi"" Eswatini Eswatini,[b] formally the Kingdom of Eswatini (historically called KaNgwane[12]), also known by its former official names Swaziland[c] and the Kingdom of Swaziland,[13][14] is a landlocked country in Southern Africa. It is bordered by South Africa on all sides except the east, where it"
55,4,no_answer,What is Lesotho's national bird?,,0.0,Lesotho’s national bird is the **bearded vulture (lammergeier)**.,"Kingdom of Lesotho Naha ea Lesotho (Sotho) Flag Coat of arms Motto: ""Khotso, Pula, Nala"" ""Peace, Rain, Prosperity"" Anthem: Lesotho fatše la bo-ntat'a rona (English: ""Lesotho, Land of Our Fathers"") Capital and largest city Maseru 29°18′54″S 27°29′13″E Official languages Sesotho · English Ethnic groups (2020) 99.7% Basotho 0.3% others Religion (2020)[1] 92.1% Christianity 6.6% traditional faiths 1.0% no religion 0.3% others Demonyms Mosotho (singular) Basotho (plural) Lesotho Lesotho (/lɪˈsuːtuː/","lizards, and 60 mammal species endemic to Lesotho, including the endangered white-tailed rat. Lesotho's flora is alpine, due to mountainous terrain. The Katse Botanical Gardens houses a collection of medicinal plants and has a seed bank of plants from the Malibamatšo River area.[62][63] Three terrestrial ecoregions lie within Lesotho's boundaries: Drakensberg altimontane grasslands and woodlands, Drakensberg montane grasslands, and Highveld grasslands.[64] The economy of Lesotho is based on","areas and immigration to South Africa for new opportunities and to escape food insecurity.[60] The report found that between July 2019 and June 2020 640,000 people in Lesotho are expected to be affected by food insecurity as a result of ""unproductive harvests as well as the corresponding rise in food prices because of the drought"".[61] There are 339 bird species in Lesotho, including 10 globally threatened species and two introduced species, 17 reptile species, including geckos, snakes and"
56,5,no_answer,What is Zimbabwe's national bird?,,0.0,"Zimbabwe’s national bird is the **Zimbabwe Bird**, traditionally believed to represent the **bateleur eagle** or **African fish eagle**.","Broadcasting Company, Australian Broadcasting Corporation, and Fox News. News agencies and newspapers from other Western countries and South Africa have also been banned from the country. The stone-carved Zimbabwe Bird appears on the national flags and the coats of arms of both Zimbabwe and Rhodesia, as well as on banknotes and coins (first on Rhodesian pound and then Rhodesian dollar). It probably represents the bateleur eagle or the African fish eagle.[329][330] The famous soapstone bird",WeZimbabwe; Northern Ndebele: Kalibusiswe Ilizwe leZimbabwe). It was introduced in March 1994 after a nationwide competition to replace Ishe Komborera Africa. The winning entry was a song written by Professor Solomon Mutswairo and composed by Fred Changundega. It has been translated into all three of the main languages of Zimbabwe.[333] National symbols Countries portal Africa portal Geography portal Outline of Zimbabwe a. The Parliament of Zimbabwe sits at Mount Hampden[3] b. Mainly majority,"at the Zimbabwe Grounds. At these celebrations, doves are released to symbolise peace, fighter jets fly over, and the national anthem is sung. The flame of independence is lit by the president after parades by the presidential family and members of the armed forces of Zimbabwe. The president also gives a speech to the people of Zimbabwe which is televised for those unable to attend the stadium.[302] Zimbabwe also has a national beauty pageant, the Miss Heritage Zimbabwe contest, which has been"
57,6,no_answer,What is Malawi's national bird?,,0.0,Malawi’s national bird is the **African fish eagle** (*Haliaeetus vocifer*).,"rainfall rapidly diminishes, and from May to September, wet mists float from the highlands into the plateaus, with almost no rainfall during these months.[21] Animal life indigenous to Malawi includes mammals such as elephants, hippos, antelopes, buffaloes, big cats, monkeys, rhinos, and bats; a great variety of birds, including birds of prey, parrots, and falcons; waterfowl and large waders; and owls and songbirds. Lake Malawi has been described as having one of the richest lake fish faunas in","the world, being the home for some 200 mammals, 650 birds, 30+ mollusks, and 5,500+ plant species.[72] Seven terrestrial ecoregions lie within Malawi's borders: Central Zambezian miombo woodlands, Eastern miombo woodlands, Southern miombo woodlands, Zambezian and mopane woodlands, Zambezian flooded grasslands, South Malawi montane forest-grassland mosaic, and Southern Rift montane forest-grassland mosaic.[73] There are five national parks, four wildlife and game reserves and two other protected","Republic of Malawi Dziko la Malaŵi (Chichewa) Charu cha Malaŵi (Chitumbuka) Flag Coat of arms Motto: ""Unity and Freedom"" Anthem: Mulungu dalitsani Malaŵi ""O God Bless Our Land of Malawi"" Malawi Malawi,[a][9] officially the Republic of Malawi,[b] is a landlocked country in Southeast Africa. It is bordered by Zambia to the west, Tanzania to the north and northeast, and Mozambique to the east, south, and southwest. Malawi spans over 118,484 km2 (45,747 sq mi) and has a population of 22,224,282 (as"
58,7,no_answer,What is Kenya's national bird?,,0.0,Kenya’s national bird is the **lilac-breasted roller** (*Coracias caudatus*).,"Republic of Kenya Jamhuri ya Kenya (Swahili) Flag Coat of arms Motto: Harambee (English: ""Let us all pull together"") Anthem: Ee Mungu Nguvu Yetu (English: ""O God of All Creation"") Kenya Kenya,[a] officially the Republic of Kenya,[b] is a country located in East Africa. With an estimated population of more than 54.2 million as of mid- 2026,[12] it is the 26th-most populous country in the world[7] and the seventh-most populous in Africa. Kenya's capital and largest city is Nairobi. The","$2,600[8] (150th) Gini (2022) 38.5[9] medium inequality HDI (2023) 0.628[10] medium (143rd) Currency Kenyan shilling (KES) Time zone UTC+3 (East Africa Time) Date format dd/mm/yy (AD) Calling code +254 ISO 3166 code KE Internet TLD .ke Websitekenya.go.ke (https://gok.kenya.go.ke/) snow on its peaks reminded him of the feathers of the male ostrich.[25] In archaic Kikuyu, the word 'nyaga' or more commonly 'manyaganyaga' is used to describe an extremely bright object. The Agikuyu, who inhabit the","(EACC).[144] Following general elections held in 1997, the Constitution of Kenya Review Act, designed to pave the way for more comprehensive amendments to the Kenyan constitution, was passed by the national parliament.[145] Wildlife Conservation Government and politics The Supreme Court of Kenya building President Barack Obama in Nairobi, July 2015 In December 2002, Kenya held democratic and open elections, which were judged free and fair by most international observers.[146] The 2002 elections"
59,8,no_answer,What is Botswana's national bird?,,0.0,Botswana’s national bird is the **kori bustard** (*Ardeotis kori*).,"Republic of Botswana Lefatshe la Botswana Flag Coat of arms Motto: Pula ""Rain"" Anthem: ""Fatshe leno la rona"" ""This Land of Ours"" Botswana Botswana,[c] officially the Republic of Botswana,[d] is a landlocked country in Southern Africa. Botswana is topographically flat, with approximately 70% of its territory being a part of the Kalahari Desert. It is bordered by South Africa to the south and southeast, Namibia to the west and north, Zambia to the north, and Zimbabwe to the northeast. Its total","Delta, featuring thousands of plant and animal species including mammals, birds, reptiles, amphibians, and fish.[136][137] However, critical data gaps regarding species distribution and status significantly hinder conservation efforts.[137] The country features many protected areas allowing large areas of natural habitat to remain intact.[138] Botswana has some of the largest and most important wildlife populations in Africa.[138] Wildlife is particularly concentrated in the north since wetlands","economic gains, Botswana continues to grapple with high unemployment, severe income inequality, and one of the world's most critical HIV/AIDS epidemics. Botswana is a member of the Southern African Customs Union, the Southern African Development Community, the Commonwealth of Nations and the United Nations. The country's name means ""Land of the Tswana"", referring to the dominant ethnic group in Botswana.[12][13] The Constitution of Botswana recognises a homogeneous Tswana state.[14] The demonym"
